Geneid	Fly/RNA_seq/WT_1.bam	Fly/RNA_seq/WT_2.bam	Fly/RNA_seq/WT_3.bam	Fly/RNA_seq/SppsKO_1.bam	Fly/RNA_seq/SppsKO_2.bam	Fly/RNA_seq/SppsKO_3.bam	Fly/RNA_seq/SppsKO_4.bam	
snoRNA:Psi28S-3305c	29	28	11	23	15	33	28	
CG9986	1506	1467	828	1376	1165	1394	1262	
CG10011	7169	7342	4421	8339	6946	8373	5844	
CG9988	0	1	0	0	0	1	7	
CR46232	0	0	0	2	0	1	0	
CG14062	2	4	2	42	13	1	0	
CG31050	0	0	1	1	0	1	0	
CG33346	10	23	2	7	10	5	12	
Sid	509	971	211	414	384	518	612	
snu	2590	2560	1788	2797	2263	2585	2187	
htt	6190	6126	4042	6764	5605	6553	4978	
AstA-R2	138	125	96	100	91	96	72	
CG10000	1	1	0	2	0	0	1	
CG9997	0	0	0	0	0	0	0	
aqrs	0	0	0	0	1	0	0	
lncRNA:CR44952	0	0	0	0	0	0	0	
CG34295	0	0	0	0	0	0	0	
intr	0	0	0	0	0	0	0	
CheB98a	15	23	12	3	0	1	2	
wdn	3903	3693	2251	4125	3658	4251	3684	
CG1646	11844	10877	7441	12043	10259	11140	9117	
snoRNA:291	12	14	6	18	9	11	9	
CG1523	2316	2173	1304	2507	2153	2596	2331	
CG1647	1873	1856	1230	2031	1747	2191	1821	
WASp	2241	2412	1321	2677	2153	2465	2102	
Apc	8116	7811	5185	8598	7311	8117	6308	
spg	3625	3494	2218	4001	3358	3645	2686	
Inx3	27756	31452	17867	33070	27433	35182	29763	
CG33203	291	210	197	334	293	284	206	
CG14529	79	66	55	70	67	58	46	
CG14528	53	147	23	29	15	48	41	
CG14523	120	66	38	47	46	54	63	
CG14527	60	63	36	19	15	24	28	
CG14526	416	1147	183	535	397	498	488	
Doa	11847	12154	7165	14841	12070	13666	8586	
CG11828	9	10	9	5	1	10	4	
DIP-gamma	651	524	441	609	450	500	376	
lncRNA:CR45669	15	11	7	16	12	10	10	
wat	400	439	221	458	373	455	265	
mir-4947	0	0	0	0	0	0	0	
lncRNA:CR44264	1	0	1	1	1	0	0	
lncRNA:CR45567	2	2	1	1	0	1	1	
CG14518	1	1	0	1	0	1	1	
eIF4E6	12	7	7	17	12	7	16	
CG1951	2054	2140	1271	2275	1850	2178	1771	
Ssl2	0	0	0	0	0	0	0	
asRNA:CR45044	4	3	2	0	0	0	0	
beta4GalNAcTB	0	0	0	0	0	0	0	
Cpsf100	2264	2343	1418	2503	2242	2552	2204	
Slu7	1662	1721	999	1789	1579	1840	1533	
Pkc98E	6417	6021	4018	6584	5404	6109	4629	
CG11837	1128	1020	660	1228	1062	1219	1190	
CG11841	3	1	0	2	4	2	0	
CG11842	11	12	4	10	7	7	19	
asRNA:CR46107	3	2	2	3	1	0	2	
CG11843	3	2	3	0	2	1	1	
Sirt7	962	957	631	1050	930	1008	883	
Cul5	3793	3859	2250	4180	3611	4096	3441	
CG11873	15863	16058	10307	19216	16049	19253	11288	
lncRNA:CR45030	5	6	1	8	4	6	1	
alpha-Man-Ib	3558	3369	2300	3720	3162	3687	3104	
Pdhb	5303	5500	2973	6053	4963	5788	5200	
Atg14	1862	1798	1155	1925	1587	1862	1620	
yem	3603	3475	2186	3703	3096	3582	3145	
Ctl2	2024	2213	977	4887	4008	4497	3594	
dgt6	1487	1539	1027	1855	1580	1811	1585	
Vha100-1	8175	8000	5114	8380	7158	7972	6669	
CG14512	233	246	152	189	196	222	225	
CG14516	1643	1671	1062	1965	1809	2180	1700	
CG14511	219	227	126	163	153	186	187	
CG11882	2005	2198	1266	2082	1710	2071	1858	
Pglym78	4615	4408	2828	4947	4236	5036	4633	
eIF2D	1640	1428	892	1835	1640	1914	1802	
Slbp	2016	1630	1054	1961	1787	2139	1971	
Rpn2	20636	21607	11329	23783	20451	24183	19224	
rdog	662	608	326	724	583	746	571	
CG11898	0	8	0	2	0	2	6	
jus	1016	874	621	1002	747	778	638	
CG14515	2	7	7	8	6	6	3	
CG11899	6837	6984	2937	7347	6275	7128	6249	
Mesh1	368	376	226	269	274	347	319	
Cyt-c1L	4	3	5	11	8	8	11	
lncRNA:CR31044	299	243	152	206	203	201	270	
mir-279	0	0	0	0	0	0	0	
mir-996	0	0	0	0	0	0	0	
eEF1gamma	84974	87032	53070	87088	74512	89797	73480	
Cisd2	4409	4336	2450	4118	3662	4571	4096	
Brd8	3009	2989	1582	3660	3096	3755	3258	
CG14507	12	8	5	14	13	18	7	
Usp1	4030	4305	2513	4565	3841	4465	3671	
CG11951	12	11	5	2	5	6	5	
CR31427	0	1	0	0	0	0	1	
CG31445	1	2	1	2	1	1	3	
SP1029	7282	9583	2784	8209	6707	8593	5412	
stg	6908	6469	4667	7636	6534	7468	6358	
CG45544	5	5	2	11	3	10	11	
lncRNA:CR45568	1	2	2	2	2	2	2	
CG14506	2	1	1	4	2	2	0	
Cnx99A	14330	15247	8643	16355	13478	16461	13470	
lncRNA:CR45547	1	5	2	2	0	4	0	
CG45546	0	2	2	2	1	1	0	
Ptp99A	7560	7325	4503	7696	6288	7462	5252	
lncRNA:CR44022	14	19	6	19	10	12	8	
CG2321	733	744	398	828	694	744	635	
CG2006	484	461	243	590	478	545	519	
Spase12	0	0	0	0	0	0	0	
CG2310	4887	4652	2566	5129	4415	5438	4694	
Diedel	0	1	0	2	0	1	1	
CG2010	18	22	15	8	8	10	7	
Trc8	3509	3639	1980	4330	3574	4397	3743	
ND-20L	18	14	14	13	8	10	5	
lncRNA:CR43613	0	1	0	0	0	0	0	
Dr	2335	2229	1074	2421	1868	2502	1883	
CG7567	1	1679	2	6	4	6	4323	
CG11470	2	367	2	1	2	1	741	
CG31041	24	25	10	8	9	13	5	
alph	6830	7117	4362	8683	7485	8934	7770	
CG7568	3	11	7	3	2	2	3	
Diedel2	0	0	0	0	0	0	0	
CG1907	1557	1570	909	1600	1374	1640	1477	
Dop1R2	651	601	373	280	247	272	191	
ppk21	5	2	1	2	4	2	1	
ppk20	0	4	2	2	2	0	1	
ppk30	3	5	2	3	4	3	3	
Obp99a	14755	12107	8893	12156	11570	11326	11493	
ppk19	13	7	7	10	6	13	12	
Bub3	7393	6794	4398	7534	6798	7631	6989	
Cap-D2	5676	5336	3614	6476	5710	6299	4946	
CG7582	190	149	105	184	164	214	186	
Gycalpha99B	1075	785	621	1153	1011	996	969	
Obp99c	741	1672	224	576	464	784	758	
dmrt99B	1185	1144	765	1415	1153	1406	1051	
lncRNA:CR45569	0	0	0	0	1	0	0	
Obp99d	4	3	0	0	0	1	0	
Dup99B	1	0	1	0	1	0	0	
Obp99b	13457	35714	5508	6565	4806	15156	13572	
CG15506	238	203	23	196	221	289	118	
lncRNA:CR46108	13	6	2	7	5	8	3	
CG34296	6695	7238	1887	2268	1939	4185	2790	
Pcd	2293	2517	1207	2375	2038	2476	2209	
Naa40	926	833	628	758	692	865	801	
CG18731	590	614	406	577	532	688	623	
Kul	9819	10187	5984	12605	10369	12460	9251	
CG7601	818	882	474	746	628	703	695	
CIA30	499	429	295	456	431	486	433	
Gnpnat	3566	4219	2321	3417	2790	3328	3068	
Wdr24	1171	1109	728	1237	1042	1207	1095	
asRNA:CR46109	2	0	1	3	2	0	0	
IntS11	2029	1943	1220	2179	1903	2195	1984	
ATPsyngamma	14565	13710	7626	15379	13152	15415	13522	
yata	4076	4215	2524	5797	4858	5921	4366	
lncRNA:CR44953	9	3	3	8	7	7	5	
kay	6524	6947	3708	6588	5306	6513	5420	
lncRNA:CR46110	3	3	3	3	6	1	2	
fig	6	11	3	12	7	8	5	
sro	676	804	534	423	386	397	421	
Rnb	1354	1437	846	1389	1072	1222	1031	
Drice	5509	5845	3040	5171	4512	5317	4889	
CG7834	6850	6972	3683	6485	5826	6875	6164	
CG7789	1241	1247	642	1041	939	1184	999	
ncd	5721	5053	3417	5749	5068	5812	5064	
ca	4530	4542	2820	4972	4148	4826	3730	
Vps16B	533	430	256	525	454	540	465	
CG7829	1	2	1	1	1	1	2	
neo	8250	9621	3997	7707	6448	8712	6625	
Atg16	1834	1886	1121	2086	1791	2100	1852	
CG42592	2	0	1	3	3	0	1	
Prtl99C	1	0	2	7	4	3	5	
Cad99C	11379	11552	6333	12667	10618	12702	9605	
dgt1	2390	2223	1242	2538	2084	2602	2203	
CG7824	854	723	500	886	729	890	790	
CR31032	175	131	94	210	233	282	286	
CG15514	2312	2147	1387	2357	2031	2382	2098	
RpS8	97327	98093	55585	103518	91535	112788	99537	
snoRNA:Or-CD8	20	24	13	13	6	13	11	
snoRNA:Me28S-A2564	12	4	4	7	4	4	10	
Zip99C	863	936	536	1316	953	945	844	
CG34133	2539	2382	1491	2661	2291	2614	2102	
CG31038	3400	3420	2131	4136	3547	4077	3221	
CG15517	3	1	3	1	3	1	3	
CG15515	1	0	2	0	1	1	0	
CG31036	37	50	26	42	30	42	32	
Capa	980	753	566	869	881	861	803	
trp	8	3	3	6	5	6	3	
Jon99Ciii	1061	3256	35	30	18	911	37	
Jon99Cii	1341	2988	63	29	21	992	37	
Jon99Ci	129	11	5	1	3	24	1	
CG15522	319	299	139	299	328	303	241	
alpha-Man-Ic	5	6	1	12	10	9	5	
Cog7	1671	1827	945	2087	1769	2054	1820	
CG42557	0	0	0	0	0	0	0	
CG42558	0	0	0	0	0	0	0	
eIF2Balpha	1184	1240	712	1348	1156	1379	1275	
Vps13B	3928	3902	2856	4391	3717	4474	3302	
TkR99D	508	487	292	493	410	446	377	
CG7896	6819	7160	3730	7544	6210	7469	5786	
Acph-1	1890	2053	1311	1780	1618	1882	1667	
CG7903	1291	1330	738	1459	1263	1561	1220	
Sas-6	680	668	442	707	645	710	665	
CG15525	720	716	435	806	728	838	746	
CG11504	2004	1860	1176	2162	1874	2078	1706	
CG34298	0	0	0	1	1	0	0	
Tace	2381	2126	1490	2360	2061	2249	1997	
Nph	10762	10096	6185	12146	10657	12157	11353	
Nlp	27965	27314	15805	30235	27135	31571	28055	
CG7912	509	511	283	561	448	504	382	
CG7920	9999	9894	5802	10132	8716	10317	8312	
Mgat2	3065	2756	1947	3871	3225	3726	3101	
RpS28a	2	1	2	1	1	0	1	
Axn	8139	8283	5338	9340	8046	9697	7734	
lncRNA:CR46111	8	0	6	6	5	4	3	
asRNA:CR44045	0	0	0	0	0	0	0	
ZIPIC	1063	1050	611	1094	905	1128	1015	
ocn	0	2	0	1	0	1	4	
janB	3	5	3	9	6	9	6	
janA	3468	3317	2219	3470	3207	3768	3583	
Sry-alpha	0	0	0	0	0	0	0	
Sry-beta	0	0	0	0	0	0	0	
Sry-delta	2754	2450	1578	3020	2578	2759	2328	
RpL32	58696	56535	32946	57042	50635	59150	53876	
CG7943	943	856	529	974	841	880	855	
CG15528	24	25	15	78	59	34	31	
asRNA:CR44046	4	2	2	13	10	14	8	
CG7946	6220	6000	3821	6437	5606	6470	5668	
spn-A	871	812	465	871	759	876	790	
CG15526	0	0	0	2	5	2	3	
CG7950	1	0	0	0	0	0	1	
CG34317	0	0	0	0	0	0	0	
sima	10866	11163	6489	11208	9009	10743	7604	
lncRNA:CR46112	7	3	4	18	6	11	5	
CG45072	0	0	0	0	0	0	0	
CG45073	0	1	0	0	0	0	0	
Ppi1	1	7	3	4	8	2	13	
CG31029	55	74	37	35	32	42	46	
Tpi	9560	10052	5244	11756	10296	12451	10775	
AdoR	34	23	17	33	27	31	36	
asRNA:CR46082	2	1	1	0	0	2	1	
CG15529	23	27	18	49	49	66	56	
CG11498	181	193	127	210	174	169	137	
CG31030	2546	2153	1584	2575	2350	2513	2297	
CG31028	1708	1604	1122	2107	1802	2002	1805	
Mlc2	4081	4428	2527	1959	1573	2151	1029	
CG1983	798	811	460	843	687	798	762	
CG15530	6	4	9	3	0	7	1	
Bet5	868	874	528	705	654	829	747	
lncRNA:CR44262	0	0	0	0	0	1	0	
CG9747	2417	2393	1660	2135	1815	2259	2002	
CG15531	190	138	94	36	40	88	7	
CG9743	360	286	288	77	77	140	152	
RpS7	106442	106127	62079	108710	94323	115571	100058	
snoRNA:Psi28S-2149	33	10	12	13	11	22	14	
snoRNA:Psi18S-1377e	23	16	17	22	15	34	18	
snoRNA:Psi18S-1377d	27	18	12	30	18	26	23	
snoRNA:Psi18S-1377c	33	13	10	19	17	18	23	
snoRNA:Psi18S-1377b	42	20	16	31	38	19	39	
snoRNA:Psi18S-1377a	38	21	13	37	23	28	23	
snoRNA:Psi28S-2626	23	13	7	24	12	17	13	
Anp	0	0	0	1	0	0	1	
CecA1	30	49	72	25	13	26	3	
Cec-Psi1	0	0	0	0	0	0	0	
CecA2	5	12	26	5	9	9	6	
Cec2	0	0	0	0	0	0	0	
CecB	0	3	4	6	4	17	7	
CecC	178	146	89	78	41	29	10	
CG43448	61	54	55	52	47	56	51	
CG9737	68	59	49	43	43	35	23	
CG9733	25	30	10	81	78	86	77	
tRNA:Leu-TAG-1-1	0	0	0	0	0	0	0	
tRNA:Leu-TAG-1-2	0	0	0	0	0	0	0	
CG34299	0	0	1	0	1	1	0	
CG9682	307	22	8	101	91	400	28	
CG18404	0	1	0	1	0	6	1	
lncRNA:CR46113	1	0	2	3	2	2	1	
hdc	43069	39778	31384	45564	37487	39471	25169	
CG34300	3	6	2	6	2	2	2	
lncRNA:CR46114	2	3	3	2	1	3	1	
Fer1HCH	14529	14542	9873	14959	13199	15730	13367	
Fer2LCH	12895	13278	8645	13838	11883	13778	11135	
lncRNA:CR45570	0	2	0	0	1	0	1	
CG42740	0	0	0	0	0	0	0	
CG2217	0	0	0	0	0	0	0	
CG15535	596	668	403	697	580	672	708	
mRpS18C	549	538	319	571	515	601	583	
CG15536	399	393	250	353	349	406	344	
CG2218	6527	6235	3955	6604	5899	6577	5363	
CG15533	5	1	0	1	0	1	1	
CG15534	23	2	1	2	1	1	0	
CG15537	463	337	206	356	340	382	306	
Osi23	0	0	0	0	0	4	0	
aralar1	2133	2143	1221	2619	2089	2549	2106	
CG2224	1199	1219	776	1362	1169	1265	1066	
CDase	2038	1977	1137	2669	2136	2470	2284	
PH4alphaEFB	3641	3673	2098	3355	2976	3363	2914	
spdo	1337	1360	869	1417	1188	1467	1028	
Jon99Fii	340	171	2	7	1	522	29	
Jon99Fi	1332	627	33	6	1	369	13	
PH4alphaSG2	144	236	337	46	26	125	30	
PH4alphaMP	217	287	70	119	99	115	77	
PH4alphaNE1	2	1	1	1	1	0	1	
CG31371	3	5	7	2	4	1	0	
PH4alphaSG1	123	173	278	25	12	67	11	
CG15539	2	1	6	0	1	0	0	
mir-4908	0	0	0	0	0	0	0	
CG34041	0	0	0	0	0	0	0	
PH4alphaNE2	1	0	0	0	0	0	0	
CG31524	0	0	0	0	0	0	0	
CG9698	1	1	1	1	3	1	0	
jdp	1131	934	906	543	572	595	511	
lncRNA:CR45552	0	2	1	2	2	3	1	
lncRNA:CR45553	0	1	0	1	2	1	2	
tmod	11101	12339	7079	14536	11874	13578	9640	
CG34155	479	444	306	452	381	363	277	
CG9702	3	29	1	49	21	5	14	
Rpt6R	55	77	41	45	42	52	43	
CG9717	11	91	23	125	79	37	16	
CG2246	4185	4175	2635	4409	3861	4628	4095	
CG31019	199	171	130	200	170	168	107	
CG31021	2	2	2	0	4	4	2	
PH4alphaNE3	1	2	3	5	2	3	4	
CG31016	1	2	0	5	2	0	0	
lncRNA:CR45571	1	1	1	0	1	0	0	
CG44954	0	0	0	0	0	0	0	
lncRNA:CR44136	0	0	0	0	0	0	1	
CG2267	0	1	1	3	1	0	0	
lncRNA:CR46236	0	1	0	0	0	0	0	
CG31013	0	0	0	1	1	0	0	
PH4alphaPV	5	14	2	16	7	2	85	
CG34432	0	0	0	0	0	0	0	
CG34433	0	1	0	0	0	0	0	
lncRNA:CR45191	5	4	1	1	2	1	2	
Spn100A	7561	11959	1770	6150	4633	7594	3727	
CG12069	0	3	0	0	1	0	1	
Pka-C2	1	5	1	0	3	0	0	
lncRNA:CR46115	1	0	1	1	5	0	0	
CG31010	0	0	0	2	0	0	1	
lncRNA:CR46219	0	0	0	1	0	0	0	
eIF4H2	1	4	1	6	3	4	4	
CG11313	51	82	21	9	13	15	18	
CG15543	2	2	2	0	0	0	0	
Npc2g	300	507	85	126	111	180	189	
Npc2h	9	12	1	5	8	3	13	
lncRNA:CR43238	0	0	1	0	0	0	0	
zfh1	4253	4476	2459	4084	3292	4169	2795	
asRNA:CR45189	6	5	5	5	0	2	2	
wts	5545	5458	3165	4938	4159	4760	3522	
mir-1013	0	0	0	0	0	0	0	
dj-1beta	3964	3484	2254	2847	2513	2741	2574	
cindr	5937	5985	3348	5862	5120	6305	4883	
CG15544	1587	2504	785	2084	1597	2652	1233	
tll	723	829	493	949	824	1023	825	
Cpr100A	12	13	6	15	6	13	5	
CG15545	14	10	4	5	4	6	6	
CG15546	129	130	63	118	118	147	92	
CG12071	2901	2667	1865	2842	2524	2577	1710	
CG15547	358	292	214	211	162	173	135	
Sap-r	26706	29496	17512	29395	24662	27561	20961	
Cyp4c3	43	1	4	7	4	12	0	
CG33483	1	0	1	0	1	2	0	
lncRNA:CR46220	0	0	0	5	2	0	0	
Ptx1	411	351	207	415	356	357	283	
lncRNA:CR44041	0	1	4	0	1	0	0	
CG15549	0	0	0	3	4	6	6	
CG15550	101	108	66	96	95	174	224	
CG15548	0	0	0	0	0	0	0	
Ctr1C	0	0	0	0	0	0	0	
5-HT7	300	264	172	257	200	200	179	
lncRNA:CR46116	0	0	0	0	0	0	0	
CG31008	0	0	0	0	0	0	0	
CG31007	0	1	0	0	0	0	2	
lncRNA:CR46117	0	0	0	0	0	0	0	
CG33773	0	0	0	0	0	0	0	
CanA1	73	84	39	104	59	104	50	
CG33920	2	5	1	3	4	5	1	
Alp4	85	67	61	126	165	78	451	
mir-4948	0	0	0	0	0	0	0	
Chchd3	2469	2360	1433	2776	2369	2650	2462	
dco	11189	11483	6869	12393	10297	12228	9954	
Sox100B	101	99	54	136	123	145	101	
CG11317	1187	1014	673	968	927	979	848	
CG15553	33	78	13	1	0	5	4	
CG11318	22	56	35	30	13	14	4	
Prosalpha3T	0	0	1	3	4	2	1	
CG15554	3	2	3	4	6	2	1	
CG15556	36	19	11	7	13	11	34	
lncRNA:CR46207	0	0	0	0	0	0	0	
lncRNA:CR43458	0	0	0	0	1	0	0	
Gycbeta100B	639	502	423	624	527	603	450	
stops	54	50	25	235	227	272	218	
mesh	66	201	151	124	107	60	121	
bnk	0	1	0	0	0	2	0	
CG1544	1148	1305	609	694	593	761	691	
chp	1250	1200	817	1618	1425	1670	1355	
Zwilch	1763	1512	1054	1830	1702	1887	1703	
CG1542	3120	2902	1606	3358	2970	3447	3386	
CG15561	429	435	286	443	439	518	470	
ATPsynC	49531	50182	29888	56984	47390	55682	47548	
RNaseP:RNA	269	255	126	256	276	310	251	
mir-4949	0	0	0	0	0	0	0	
CG12054	6110	6437	4012	6743	5591	6666	5333	
CG15563	1	5	0	3	0	8	3	
CG15564	4	3	0	2	2	3	5	
qless	488	492	332	547	472	481	438	
mRpL32	790	741	455	838	746	759	766	
CG1750	217	234	171	265	236	273	269	
spn-F	1311	1418	771	1463	1221	1418	1170	
CG3669	0	0	0	1	0	0	1	
CG18672	1	0	0	0	0	0	0	
CG18673	0	0	0	1	0	0	0	
ppk24	0	1	0	0	0	0	0	
pHCl-2	28	19	14	23	28	22	16	
CG34347	9305	9839	5174	9967	8341	9359	6879	
lncRNA:CR46118	1	0	0	1	1	0	0	
gskt	17	18	7	13	14	10	9	
CG1607	16499	16852	10258	20753	17611	20965	18496	
CG31204	1	0	0	0	1	1	0	
CG31002	0	0	0	0	0	0	1	
Gcn2	3803	3756	2430	4633	3777	4347	3418	
PNPase	1495	1498	910	1817	1605	1592	1417	
Gprk2	6233	6496	3844	6818	5885	6839	5299	
Loxl1	63	71	53	107	100	71	71	
CG11334	3614	3653	1935	3553	3069	3666	3394	
CG11333	4	3	2	2	1	3	1	
lncRNA:CR45554	0	0	0	0	0	1	0	
lncRNA:CR45555	0	0	0	0	0	0	0	
lncRNA:CR45572	1	0	0	0	0	1	0	
mey	4852	6019	2007	5119	4126	5385	3447	
lncRNA:CR45573	0	0	0	0	0	1	0	
nyo	4365	5484	2484	4888	3896	4723	2859	
lncRNA:CR46120	0	0	0	1	0	0	0	
lncRNA:CR46119	4	7	2	6	10	9	3	
gammaCOP	9170	9793	5152	9435	7905	9707	8304	
pygo	4611	4609	2731	5028	4402	5045	4328	
rod	6490	5795	4227	6991	6088	6828	5676	
asRNA:CR45190	9	13	6	23	5	7	8	
CG1635	63	58	40	61	30	46	42	
CG1638	91	73	69	67	79	84	62	
CG1774	99	96	53	77	60	62	39	
RpL6	87731	88685	57726	92727	81833	97376	80705	
CycG	32417	34317	21699	37736	30881	35944	30011	
Med	5829	5917	3064	6210	5193	6133	4956	
CG11539	202	197	141	189	181	224	194	
CG1792	833	816	461	853	717	906	746	
pasha	2427	2324	1327	2672	2320	2583	2102	
kek6	2266	2003	1413	2262	1972	1899	1376	
CG1815	9335	8934	6304	9421	8419	9891	7575	
CG11550	895	874	533	900	741	804	792	
lncRNA:CR44091	4	5	3	3	2	0	3	
lncRNA:CR45564	9	24	1	7	14	12	6	
lncRNA:CR45565	11	7	4	9	11	8	3	
lncRNA:CR45052	17	18	14	27	26	22	10	
CG42693	6	8	3	5	6	10	7	
lncRNA:CR34046	14	7	5	13	7	9	9	
ttk	9813	11298	5671	11505	9296	11491	8638	
CstF50	2187	1983	1099	2288	2049	2197	1966	
CG11563	1409	1347	906	1633	1402	1609	1500	
eEF1alpha2	33736	31216	20019	33162	29037	32036	27038	
CG1890	4028	3757	2111	4073	3545	4303	3891	
CG1896	1103	981	710	956	881	983	955	
awd	65041	59776	31316	69779	59388	69072	62102	
nero	1564	1323	770	1569	1345	1596	1480	
CG1910	16650	16615	10319	17580	15464	18334	15029	
salt	1	2	3	4	1	8	78	
mir-1014	0	0	0	0	0	0	0	
CG2187	1	0	0	0	1	0	7	
lncRNA:CR44263	0	0	0	0	0	0	0	
Smvt	0	1	0	0	1	3	5	
CG2150	10	20	5	18	10	13	9	
lncRNA:CR43436	13	18	7	8	6	5	2	
asRNA:CR33945	23	21	17	27	18	16	18	
betaGlu	2607	2467	1677	2516	2248	2691	2377	
sip3	3680	4242	2192	4019	3537	4229	3392	
CG2126	898	841	546	979	846	998	832	
faf	20824	20657	12907	23170	19639	22482	16293	
Mccc1	2607	2645	1759	2945	2612	3010	2583	
Acf	7779	7756	5312	8817	7717	9199	7081	
CG42233	500	423	282	698	617	727	560	
Ir100a	11	11	4	9	10	5	9	
CG1971	36	43	24	27	33	38	31	
CG11576	1483	1521	881	1580	1351	1499	1270	
FeCH	2733	2766	1500	2915	2444	2898	2548	
RhoGAP100F	7662	6580	4947	7521	6084	6184	4129	
heph	38965	40509	24290	42955	34859	41878	33419	
CG2003	452	577	271	246	214	270	288	
lncRNA:CR45556	0	0	1	0	0	0	1	
lncRNA:CR45557	11	9	7	6	7	14	7	
CG2053	1	1	1	6	2	5	5	
krz	4785	4876	3381	5271	4317	4971	4255	
mod	19223	18841	12788	22622	19384	23756	20154	
Map205	16849	18788	10841	19443	15732	19203	15147	
mthl8	0	1	0	1692	1581	1620	1410	
CG43149	0	2	1	6	2	3	5	
Lsp1gamma	42718	95422	16004	26553	25214	43601	33761	
lncRNA:CR44510	4	8	0	7	6	2	3	
lncRNA:CR44511	4	2	2	1	3	5	1	
lncRNA:CR43150	2	4	4	6	1	2	2	
lncRNA:CR43988	4	4	3	4	3	2	3	
CG13405	3	5	2	6	4	5	4	
CG12483	0	0	0	0	1	0	0	
lncRNA:CR45401	0	0	0	0	0	0	2	
lncRNA:CR45402	0	2	0	0	0	1	0	
lncRNA:CR45400	0	0	0	0	0	1	1	
Pdk1	6569	6789	3443	6908	5880	7725	6111	
lncRNA:CR45805	2	5	1	7	2	4	3	
CG6845	2726	2400	2005	3120	2567	2584	2135	
Dic61B	157	142	121	175	122	129	97	
p130CAS	5632	5467	3662	6305	5421	5802	4522	
lncRNA:CR43151	17	16	14	15	14	17	13	
CG7049	32	22	19	31	29	24	35	
asRNA:CR45806	0	0	0	0	0	0	0	
Vdup1	7133	6786	3879	7379	6438	7683	6802	
CG13875	226	241	131	274	213	267	245	
Mkp	5	6	2	7	6	5	3	
CG34140	0	0	0	0	0	0	0	
Mtch	6569	6571	3842	6788	5968	7210	6673	
rno	8980	9269	5765	10261	8649	10370	7192	
mri	4915	4819	2683	5245	4550	5277	4668	
Gk1	1772	1656	1155	1714	1577	1894	1755	
NitFhit	1159	1192	764	1321	1023	1116	1098	
CG13876	419	384	267	348	325	386	347	
CG7028	3574	3428	2154	3845	3320	3903	3500	
thoc7	2084	2009	1247	2265	1922	2361	2039	
Dis3l2	3116	2965	1976	3393	2836	3449	2637	
Kaz1-ORFB	123	101	58	133	114	151	121	
Kaz1-ORFA	0	0	0	0	0	0	0	
pyx	149	121	107	142	120	147	169	
CG13877	0	0	0	0	0	0	0	
CG33229	5097	4516	3534	6141	5108	5402	4065	
lncRNA:CR42862	148223	146131	121409	131548	113487	111307	75197	
CG42846	151	256	44	101	77	95	103	
CG34454	19	24	15	27	31	23	18	
CG34453	13	22	6	22	29	24	15	
E(bx)	24350	24274	15928	27394	23170	28275	20059	
mthl14	63	73	32	98	66	94	71	
DIP2	11042	10722	7059	12989	10911	12223	9486	
wac	1863	1810	1043	2464	1940	2311	2292	
Tudor-SN	32240	34725	17672	38124	31685	38616	30522	
snoRNA:Tudor-SN-a	63	51	37	44	39	44	44	
snoRNA:Psi18S-996	8	5	2	3	3	5	5	
mRpL17	1189	1051	654	1294	1080	1211	1250	
CG34263	0	0	0	0	0	0	0	
miple1	4113	3957	2534	8390	7488	8648	7631	
miple2	12960	14025	7988	13829	11571	14390	12317	
CG32845	560	480	306	542	412	512	410	
ttm2	10	9	7	37	24	32	7	
RhoGEF3	4518	4519	2777	5260	4196	4838	3724	
fwd	10123	10207	6419	11006	9417	11054	7816	
ddbt	13	19	7	12	12	17	8	
CG32344	2624	2324	1624	2659	2349	2757	2262	
Atac3	1824	1862	1064	1938	1601	1988	1608	
Ptpmeg	7479	7227	4363	7732	6546	7533	6205	
mthl9	1914	1716	1164	1941	1719	1930	1723	
mthl10	3100	2853	1958	2826	2382	2977	2561	
mth	6562	6563	4074	7267	6158	7600	6806	
CG1231	81	91	40	93	75	100	96	
Cdc5	3987	3751	2273	4080	3535	4156	3360	
Roc1b	0	0	0	0	0	0	0	
CG1233	1839	1899	1136	1970	1776	2075	1644	
CG13884	12	9	8	5	9	8	7	
trh	3152	3189	1610	3518	2918	3277	2349	
lncRNA:CR45378	3	3	2	7	6	9	6	
lncRNA:CR43969	0	0	0	0	0	1	1	
CG13891	2	3	0	2	4	5	1	
klar	31476	32490	19298	34584	29134	35044	27077	
snmRNA:438	0	0	0	0	0	0	0	
CG34267	0	0	0	1	1	2	0	
CG34268	1	0	0	0	0	1	0	
lncRNA:CR46002	1	0	0	0	0	0	0	
lncRNA:CR45118	0	0	0	0	0	0	0	
lncRNA:CR45117	0	0	0	0	0	1	0	
CG34269	1	1	0	0	0	1	2	
CG17180	495	446	244	447	427	476	491	
Cypl	1566	1628	936	1746	1547	1813	1615	
Hipk	14964	15343	9526	16310	13485	16400	11409	
lncRNA:CR46249	0	0	0	2	3	2	1	
lncRNA:CR45808	0	1	3	1	1	4	0	
Ppm1	1	4	1	3	2	1	1	
Kah	64	57	16	107	103	89	52	
MED14	6074	5940	3564	6642	5649	6546	5307	
CG13893	160	195	166	143	165	178	166	
asRNA:CR45807	0	0	0	0	0	0	0	
Reg-2	461	1124	201	270	248	395	375	
lncRNA:CR44513	5	3	0	5	1	5	5	
lncRNA:CR42719	7	12	7	26	18	27	23	
